46,Passenger Plate Default,Florida,,,"Does not use the Letter ""O"", we only use the number zero ""0"". If the letter ""O"" is entered it automatically changes to zero ""0"" in our motor vehicle database. Font changes in 2008 & 2019.",,,,,Florida uses Plate Type Code numbers to apply proper prefix/suffix currently. The only plate type code used is Passenger Plate Default: 0,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?,
46,A & M University,Centennial,1987-2018,Since 2019,Y,N,N,N,Y,N,N,N,
46,Advent Health University,,,,Y,N,N,N,Y,N,N,N,
46,Agency Workforce Innovation,,,,Y,N,N,N,Y,Y - Plate starts with 'AWI',N,N,
46,Agricultural Education,,,,Y,N,N,N,Y,Y -  FFA Icon seen on left,N,N,
46,Agriculture Consumer Services,,,,Y ,N,N,N,Y,Y - Plate starts with ACS.,Y - Reject as Emergency Vehicle if FIRE is displayed on Forestry Fire Service Vehicle.,N,
46,Agriculture Keeps Green,1997-2007,Since 2008,,Y,N,N,N,Y,N,N,N,
46,Air Force Combat Action Medal,,,,Y,N,N,N,Y,Y- Medal appears on left side of the plate.,N,N,
46,Air Force Cross,,,,Y,N,N,N,Y,Y- Medal appears on left side of the plate.,N,N,
46,Amateur Radio,,,,Y,N,N,N,Y,N,N,N,
46,America the Beautiful,,,,Y,N,N,N,Y,N,N,N,
46,American Red Cross,,,,Y,N,N,N,Y,N,N,N,
46,Animal Friend,2004-2007,2008-2015,2016-2020,Y,N,N,N,Y,N,N,N,
46,Animal Friend,Since 2021,,,Y,N,N,N,Y,N,N,N,
80,Antique ,1980-2018,Since 2019,,Y,N,N,Y- Use Dropdown if registration is all numeric.,Y,"Y - ""Antique"" appears on bottom of blue colored plate",N,N,
93,Antique Motorcycle,,,,Y,N,N,"Y - Omit the letter ""Q"" when it is the first letter of the plate and the rest is all numeric. Put in Drop Down from Menu.",Y,Y - Antique appears across bottom of blue plate. Smaller plate size,Y - Motorcycle,N,
46,Apportioned,1999-2018,2019,2020,Y,N,N,N,Y,Y - Vertical month sticker in center,N,N,
46,Apportioned,2021,2022-2023,Since 2024,Y,N,N,N,Y,Y - Vertical month sticker in center,N,N,
46,Aquaculture,2004-2007,2008-2018,Since 2019,Y,N,N,N,Y,N,N,N,
46,Army of Occupation,,,,Y,N,N,N,Y,Y- Medal appears on left side of the plate.,N,N,
46,Atlantic University,1987-2001,2002-2007,Since 2008,Y,N,N,N,Y,N,N,N,
46,Ave Maria University,,,,Y,N,N,N,Y,N,N,N,
46,Barry University,1998-2007,2008-2021,Since 2022,Y,N,N,N,Y,N,N,N,
46,Beacon College,,,,Y,N,N,N,Y,N,N,N,
46,Best Buddies,,,,Y,N,N,N,Y,N,N,N,
46,Bethune-Cookman,1997-2007,Since 2008,,Y,N,N,N,Y,"Y- Prior to 2008 ""College"" & since 2008 ""University"" appears after BETHUNE-COOKMAN at bottom of the plate.",N,N,
46,Big Brothers/Big Sisters,,,,Y,N,N,N,Y,N,N,N,
46,Bonefish & Tarpon Trust,,,,Y,N,N,N,Y,N,N,N,
46,Bronze Star,,,,Y,N,N,N,Y,Y- Medal appears on left side of the plate.,N,N,
46,Catch & Release,,,,Y,N,N,N,Y,N,N,N,
46,Challenger/Columbia,2001-2004,2005-2007,2008-2019,Y,N,N,N,Y,N,N,N,
46,Challenger/Columbia,Since 2020,,,Y,N,N,N,Y,N,N,N,
46,Choose Life,1999-2007,Since 2008,,Y,N,N,N,Y,N,N,N,
67,City,1988-2007,2008-2018,Since 2019,Y,Y - Use 'CITY' dropdown when the plate is all numeric.,N,"Y - Omit ""City"" when on left side of plate.",Y,Y - City appears on the left side or across the bottom of the yellow plate.,Y -  Reject as Emergency Vehicle if tag is on an Emergency Vehicle.,N,
68,City Motorcycle,,,,Y,Y - Use 'CITY MOTORCYCLE' dropdown when the plate is all numeric.,N,"Y - Omit ""CY"" when seen on plate.",Y,Y - Yellow plate begins with CY. Smaller plate size,Y - Motorcycle and reject as Emergency Vehicle if tag is on an Emergency Vehicle.,N,
46,Clearwater College,,,,Y,N,N,N,Y,N,N,N,
46,Collectable,,,,Y,N,N,N,Y,N,N,N,
100,College,1988-2007,Since 2008,,Y,Y - Use 'COLLEGE' dropdown when the plate is all numeric.,N,"Y - Omit  ""College"" from the registration.",Y,Y - Series title appears on left of plate or across the bottom of the yellow plate.,N,N,
46,Combat Action Badge,,,,Y,N,N,N,Y,Y-Series appears on left side of the plate.,N,N,
46,Combat Action Ribbon,,,,Y,N,N,N,Y,Y- Ribbon appears on left side of the plate.,N,N,
46,Combat Infantry Badges,,,,Y,N,N,N,Y,Y- Medal appears on left side of the plate.,N,N,
46,Combat Medical Badges,,,,Y,N,N,N,Y,Y- Medal appears on left side of the plate.,N,N,
46,Conserve Florida Fisheries,,,,Y,N,N,N,Y,N,N,N,
46,Conserve Wildlife,1998-2007,2008-2018,Since 2019,Y,N,N,N,Y,N,N,N,
46,Corrections Foundation,,,,Y,N,N,N,Y,N,N,N,
119,County,1988-1997,1998-2018,Since 2019,Y,Y - Use 'COUNTY' dropdown when the plate is all numeric.,N,"Y - Omit ""COUNTY"" when seen on plate.",Y,Y - County appears on the left side or across the bottom of the yellow plate.,Y -  Reject as Emergency Vehicle if tag is on an Emergency Vehicle.,N,
101,County Motorcycle,,,,Y,Y - Use 'COUNTY MOTORCYCLE' dropdown when the plate is all numeric.,N,"Y - Omit ""CO"" when seen on plate.",Y,Y - Yellow plate begins with CO. Smaller plate size,Y - Motorcycle and reject as Emergency Vehicle if tag is on an Emergency Vehicle.,N,
46,Custom Vehicle,,,,Y,N,N,N,Y,Y - Usually on a Red Plate.,N,N,
46,Dealer,1997-2002,2003-2018,Since 2019,Y,N,N,N,Y,Y - Dealer appears across the bottom of plate.,N,N,
46,Dealer Motorcycle,,,,Y,N,N,N,Y,Y - plate begins with D. Smaller plate size,Y - Motorcycle,N,
46,Department of Driver Licenses,,,,Y,N,N,N,Y,Y - plate begins with DDL.,N,N,
46,Department of Motor Vehicles,,,,Y,N,N,N,Y,Y - plate begins with DMV.,N,N,
46,Department of Protection,,,,Y,N,N,N,Y,Y - plate begins with DEP.,N,N,
46,Department of Transportation,,,,N - Reject as Other.,N,N,N,Y,Y - plate begins with DOT.,N,N,
46,Department of Veterans Affairs,,,,Y,N,N,N,Y,Y - plate begins with FDVA.,N,N,
34,Disabled Veteran,1988-2007,2008-2018                  **NO DROPDOWN**,Since 2019                **NO DROPDOWN**,Y,"Y - The plate must begin with ""DV"" and the rest of the registration is numeric.",N,"Y - Omit ""DV"" only when the rest of the plate is all numeric. (DROPDOWN)",Y,Y - Stars on the left side of the plate and strips on the right side of the plate.,N,N,
102,Disabled Veteran Motorcycle,,,,Y,Y - Use 'DISABLED VETERAN MOTORCYCLE' dropdown when the plate is all numeric.,N,"Y - Omit ""DV"" only when the rest of the plate is all numeric. (DROPDOWN)",Y,Y - Stars on the left side of the plate and strips on the right side of the plate.,"Y - Motorcycle plates that end in ""DA""/""DB"" are keyed as passenger not Disabled Veteran Motorcycle.",N,
103,Disabled Veteran Wheelchair,1988-1998,1999-2018                  **NO DROPDOWN**,Since 2019                **NO DROPDOWN**,Y,Y - Use 'DISABLED VETERAN WHEELCHAIR' dropdown when the plate is all numeric.,N,N,Y,Y - Wheelchair symbol on left side of plate.   Stars on the left side of the plate and strips on the right side of the plate.,N,N,
46,Discover Florida's Horses,,,,Y,N,N,N,Y,N,N,N,
46,Discover Florida's Oceans,2004-2006,Since 2007,,Y,N,N,N,Y,N,N,N,
46,Distinguished Flying Cross,,,,Y,N,N,N,Y,Y - Medal symbol seen on left,N,N,
46,Distinuished Service Cross,,,,Y,N,N,N,Y,Y - Medal symbol seen on left,N,N,
46,Divine Nine (2023),Iota Phi Theta,Sigma Gamma Rho,Zeta Phi Beta,Y,N,N,N,Y,Y - Sorority/Fraternity Logo & Name; Divine Nine on bottom of plate,N,N,
46,Divine Nine (2023),Phi Beta Sigma,Delta Sigma Theta,Omega Psi Phi,Y,N,N,N,Y,Y - Sorority/Fraternity Logo & Name; Divine Nine on bottom of plate,N,N,
46,Divine Nine (2023),Kappa Alpha Psi,Alpha Kappa Alpha,Alpha Phi Alpha,Y,N,N,N,Y,Y - Sorority/Fraternity Logo & Name; Divine Nine on bottom of plate,N,N,
46,Donate Organs,,,,Y,N,N,N,Y,N,N,N,
46,Don't Tread on Me,,,,Y,N,N,N,Y,N,N,N,
46,Ducks Unlimited,,,,Y,N,N,N,Y,"Y - ""Conserving Florida Wetlands"" on bottom of plate.",N,N,
46,Eckerd College,2002-2021,Since 2022,,Y,N,N,N,Y,N,N,N,
46,Edward-Waters College,2002-2007,2008-2021,Since 2022,Y,N,N,N,Y,N,N,N,
46,Embry-Riddle University,2002-2007,2008-2021,Since 2022,Y,N,N,N,Y,N,N,N,
46,End Breast Cancer,2002-2007,Since 2008,,Y,N,N,N,Y,Y - Ballerina symbol seen on left,N,N,
46,Endless Summer,2010-2018,Since 2019,,Y,N,N,N,Y,Y - Surfer symbol seen on left,N,N,
46,Everglades River Grass,1998-2007,Since 2008,,Y,N,N,N,Y,Y - Heron symbol seen on left,N,N,
46,Everglades University,,,,Y,N,N,N,Y,N,N,N,
23,Ex POW,1997-2007,Since 2008,,Y,Y - Use 'Ex-POW' dropdown when the plate is all numeric.,N,Y - Omit 'EX-POW' on registration.,Y,Y - 'EX-POW' on left side of plate.,N,N,
46,Exempt,,,,Y,N,N,N,Y,Y - plate begins with an 'X'.,N,N,
46,Explore Off-Road,,,,Y,N,N,N,Y,Y - Jeep symbol seen on left,N,N,
46,Explore Our State Parks,,,,Y,N,N,N,Y,N,N,N,
46,Family First,2004-2006,2007-2020,Since 2021,Y,N,N,N,Y,N,N,N,
46,Family Values,2000-2007,Since 2008,Black Series,Y,N,N,N,Y,N,N,N,
73,FDLE,,,,Y,Y - Use 'STATE or FDLE' dropdown when the plate is all numeric.,N,"Y - Omit ""State"" or ""FDLE""  when on left side of plate.",Y,Y - FDLE symbol on left. FDLE appears across the bottom of plate,Y -  Reject as Emergency Vehicle if tag is on an marked vehicle.,Y,
46,Fish & Wildlife Commission,Officer,1988-2007,Since 2008,Y,Y - plate begins with an 'FWC'.,N,N,Y,Y - Reject has Emergency Vehicle if FWC OFFICER appears across bottom of plate.,Y - Reject as Emergency Vehicle if State LAW ENFORCEMENT is displayed on the vehicle.,N,
46,Fish Florida,2003-2007,Since 2008,,Y,N,N,N,Y,N,N,N,
46,Flagler College,2002-2007,2008-2018,Since 2019,Y,N,N,N,Y,N,N,N,
46,Flagler College,Personalized,,,Y,N,N,N,Y,N,N,N,
46,Fleet,1980-2011,2012-2017,Since 2018,Y,N,N,N,Y,N,N,N,
46,Florida Bay Forever,,,,Y,N,N,N,Y,N,N,N,
46,Florida College,2002-2021,Since 2022,,Y,N,N,N,Y,N,N,N,
117,Florida Highway Patrol,2003-2004,2005-2007,2008-2013,Y,Y - The plate must be numeric.,N,N,Y,Y - FHP symbol appears on left of plate,Y - Vehicle must not have emergency markings.,N,
117,Florida Highway Patrol,Since 2014,,,Y,Y - The plate must be numeric.,N,N,Y,Y - FHP symbol appears on left of plate,Y - Vehicle must not have emergency markings.,N,
120,Florida National Guard,,,,Y,Y - Use 'FLORIDA NATIONAL GUARD' dropdown when the plate is all numeric.,N,N,Y,Y - Series title appears on left of yellow plate,N,N,
46,Florida Panthers,1995-2022,,Since 2023,Y,N,N,N,Y,N,N,N,
46,Florida/Miami Marlins,1995-2007,2008-2009,2010-2018,Y,N,N,N,Y,N,N,N,
46,Florida/Miami Marlins,Since 2019,,,Y,N,N,N,Y,N,N,N,
104,Foreign Organization,,,,Y,Y - Use 'FOREIGN ORGANIZATION' dropdown when the plate is all numeric.,N,N,Y,Y - Series title appears on left of plate,N,N,
46,Former Military Vehicle,,,,Y,N,N,N,Y,"Y - ""Restricted Use Only"" on bottom of plate.",N,N,
46,Former Military Vehicle Motorcycle,,,,Y,N,N,N,Y,"Y - ""Restricted Use Only"" on bottom of plate.",Y- Motorcycle,N,
46,Fraternal Order of Police,,,,Y,N,N,N,Y,N,N,N,
46,Free Masons,,,,Y,N,N,N,Y,N,N,N,
46,Girl Scouts,,,,Y,N,N,N,Y,N,N,N,
46,Go Fishing,1997-2007,Since 2008,,Y,N,N,N,Y,N,N,N,
46,Go Team USA,2014-2018,Since 2019,,Y,N,N,N,Y,N,N,N,
46,Gold Star Family,,,,Y,N,N,N,Y,N,N,N,
46,Golf Capital of the World,2002-2007,2008-2018,Since 2019,Y,N,N,N,Y,Y - Golfer symbol seen on center of plate.,N,N,
46,Gulf Coast University,1997-2007,2008-2019,Since 2020,Y,N,N,N,Y,N,N,N,
35,Handicapped/ Wheelchair,2003-2007,2008-2017,Since 2018,Y,N,N,Y - Use dropdown only when the plate is all numeric.,Y,Y - Wheelchair symbol on right side of plate.,N,N,
46,Helping Sea Turtles,1998-2007,2008-2018,Since 2019,Y,N,N,N,Y,N,N,N,
46,Hispanic Achievers,,,,Y,N,N,N,Y,N,N,N,
46,Hodges University,,,,Y,N,N,N,Y,N,N,N,
46,Home of the Blue Angels,,,,Y,N,N,N,Y,N,N,N,
105,Honorary Counsul,1995-2007,2008-2018,Since 2019,Y,Y - Use 'Honorary Counsul' dropdown when the plate is all numeric.,N,"Y - Omit ""Honorary counsul"" when on left side of plate.",Y,Y - red and blue border with Honorary Consul on plate,N,N,
46,Honoring Law Enforcement,2014-2018,Since 2019,,Y,N,N,N,Y,N,N,N,
46,Horse Country,,,,Y,N,N,N,Y,N,N,N,
106,Horseless Carriage,1988-2009,Since 2010,,Y,Y - The plate must be numeric.,N,Y - Omit Horseless Carriage.,Y,Y - Red plate with Series on plate,N,N,
107,Horseless Carriage Motorcycle,,,,Y,"Y - Plate begins with ""HC""","Y - Plate ends with ""A""","Y - Omit ""HC"" and Omit ""A"". Key just the numbers.",Y,Y - Red plate with Series on plate,Y - Motorcycle,N,
46,Hospice,2003-2009,Since 2010,,Y,N,N,N,Y,N,N,N,
46,Hospital College Health,,,,Y,N,N,N,Y,N,N,N,
123,House Speaker,2003-2022,Since 2023,,Y,Y - Mandatory Drop down. The plates can contain alpha and/or numeric characters.,N,N,Y,Y - Series title appears on left of plate,Y - If the plate has Offical or Retired the plates are keyed as passenger.,N,
46,Imagine,2004-2007,Since 2008,,Y,N,N,N,Y,N,N,N,
46,In God we Trust,,,,Y,N,N,N,Y,N,N,N,
46,Indian River Lagoon,1995-2007,2008-2022,Since 2023,Y,N,N,N,Y,N,N,N,
46,Institute of Technology,2002-2021,Since 2022,,Y,N,N,N,Y,N,N,N,
46,International University,1987-2003,2004-2007,2008-2014,Y,N,N,N,Y,N,N,N,
46,International University,2015-2020,Since 2021,,Y,N,N,N,Y,N,N,N,
46,Invest in Children,1995-2009,Since 2010,,Y,N,N,N,Y,N,N,N,
46,Jacksonville Jaguars,1995-2006,2007-2014,2015-2020,Y,N,N,N,Y,N,N,N,
46,Jacksonville Jaguars,Since 2021,,,Y,N,N,N,Y,N,N,N,
46,Jacksonville Univesity,2002-2007,2008-2019,2020,Y,N,N,N,Y,N,N,N,
46,Jacksonville Univesity,Since 2021,,,Y,N,N,N,Y,N,N,N,
46,Keep Kids Drug Free,1998-2007,Since 2008,,Y,N,N,N,Y,N,N,N,
46,Keiser University,2008-2021,Since 2022,,Y,N,N,N,Y,N,N,N,
46,Kids Deserve Justice,2004-2009,Since 2010,,Y,N,N,N,Y,N,N,N,
46,Korean Conflict Veteran,,,,Y,N,N,N,Y,"Y - ""Korean Conflict Veteran"" appears on the left side of the plate.",N,N,
46,Korean War Veteran,,,,Y,N,N,N,Y,Y - Medal appears on the left side of the plate.,N,N,
46,Labor & Employment Security,,,,Y,N,N,N,Y,N,N,N,
46,Lauren's Kids,,,,Y,N,N,N,Y,N,N,N,
46,Live the Dream,2004-2007,Since 2008,,Y,N,N,N,Y,N,N,N,
46,Livestock Trailer tag,,,,N - not valid license plates. DO NOT Verify.,N,N,N,Y,Y - plate begins with LH. Smaller plate size. NOT an authorized license plate is ID permit only. DO NOT Verify,Y - Livestock Trailer,N,
46,Lynn University,2002-2021,Since 2022,,Y,N,N,N,Y,N,N,N,
46,Manufacturer,2000-2007,Since 2008,,Y,N,N,N,Y,Y - Manufacturer appears across bottom of plate,N,N,
46,Manufacturer Motorcycle,,,,Y,N,N,N,Y,"Y- Must end with 'M""",Y- Motorcycle only,N,
108,Medal of Honor Air Force,,,,Y,Y - Use drop down if all numeric,N,N,Y,Y - Star field on left/red bars on right. Series appears on left of award ribbon.,N,N,
108,Medal of Honor Army,,,,Y,Y - Use drop down if all numeric,N,N,Y,Y - Star field on left/red bars on right. Series appears on left of award ribbon.,N,N,
108,Medal of Honor Navy,,,,Y,Y - Use drop down if all numeric,N,N,Y,Y - Star field on left/red bars on right. Series appears on left of award ribbon.,N,N,
